skill,cm,UE,EU,U,E,US,F_flows,f_flows,F_short,f_short,MA_F_flows,MA_f_flows,MA_F_short,MA_f_short
"0. Low",1996m1,1445699,1107592,5218791,6.50e+07,2146073,.2315772,.2634152,.3649155,.4539973,,,,
"0. Low",1996m2,1258467,995552,5005790,6.56e+07,1691417,.2127405,.2391973,.3237495,.3911917,,,,
"0. Low",1996m3,1256228,992120,4932976,6.64e+07,1547808,.305025,.3638794,.4015112,.5133474,,,,
"0. Low",1996m4,1374045,1034212,4462507,6.66e+07,1510176,.2380944,.2719326,.3889724,.4926131,,,,
"0. Low",1996m5,1195758,1067679,4467688,6.74e+07,1740973,.2418177,.2768314,.4514595,.6004941,,,,
"0. Low",1996m6,1283988,1159600,4546922,6.86e+07,2096214,.1651196,.1804668,.3782163,.475163,,,,
"0. Low",1996m7,1551788,1005944,4802080,6.84e+07,1974878,.3328179,.4046922,.4565051,.609735,.2343772,.2751839,.3866481,.4912415
"0. Low",1996m8,1253819,1025715,4229577,6.88e+07,1619671,.2083388,.2336217,.4140308,.534488,.2349995,.2760057,.388168,.493565
"0. Low",1996m9,1247277,914321,4262713,6.78e+07,1784311,.3194172,.3848059,.4002064,.5111697,.2352084,.2763191,.390114,.4966554
"0. Low",1996m10,1174802,1203023,4104152,6.85e+07,1547404,.1345762,.1445359,.3619537,.4493444,.2393901,.2821884,.3943929,.5041345
"0. Low",1996m11,978284,910573,4462404,6.87e+07,1843765,.4034776,.5166385,.3892476,.4930636,.2399561,.2834719,.396713,.5081943
"0. Low",1996m12,1028861,1560741,4222665,6.79e+07,1497241,.0112782,.0113423,.3044092,.3629937,.2409096,.2847734,.3984064,.5109927
"0. Low",1997m1,1391253,1036810,5211851,6.71e+07,2274604,.2480698,.2851118,.3741164,.4685909,.2428674,.2869006,.3990083,.5119039
"0. Low",1997m2,1299211,941150,4860098,6.74e+07,1598086,.2111832,.2372212,.3510252,.4323614,.243661,.2876923,.3979659,.5100695
"0. Low",1997m3,1308020,924456,4758183,6.81e+07,1604102,.3115954,.3733785,.4209399,.546349,.2435363,.2873193,.4003295,.5141559
"0. Low",1997m4,1477749,992210,4267765,6.80e+07,1512491,.3318859,.4032963,.4722378,.6391096,.2457586,.2896565,.4038017,.5199276
"0. Low",1997m5,1207301,1153069,4004423,6.91e+07,1752058,.1616088,.1762705,.4238758,.551432,.2508349,.2958541,.4071634,.5254735
"0. Low",1997m6,1348253,1065263,4422536,7.00e+07,2115491,.2682129,.3122656,.4464414,.5913876,.2527898,.2976402,.4090176,.5284028
"0. Low",1997m7,1273524,951595,4187950,7.00e+07,1739817,.2767106,.3239458,.4027264,.51538,.2556291,.3007415,.4112592,.5319386
"0. Low",1997m8,1115486,984708,4013808,6.98e+07,1512456,.2834941,.3333688,.4427917,.5848162,.2564572,.3018286,.4142501,.5367665
"0. Low",1997m9,1300380,1011191,3887108,6.85e+07,1650581,.2412691,.2761081,.4281708,.5589149,.2590075,.3056014,.4188637,.5448843
"0. Low",1997m10,1061338,925918,3875187,6.99e+07,1652425,.2660584,.3093258,.417322,.5401206,.2580478,.3044477,.4220075,.5506948
"0. Low",1997m11,1040053,1062280,3906441,6.93e+07,1648455,.3938278,.5005912,.4145589,.5353897,.2557458,.3010035,.4218927,.5505096
"0. Low",1997m12,923640,1387138,3755114,6.95e+07,1468123,.0678451,.0702562,.3235998,.3909703,.2553212,.3003223,.4212694,.5494059
"0. Low",1998m1,1304396,1061282,4561630,6.79e+07,2021670,.2596464,.3006274,.4087247,.5254736,.2571721,.303181,.4239101,.5541235
"0. Low",1998m2,1183210,956586,4333805,6.82e+07,1636626,.219482,.2477974,.3881986,.4913475,.2601113,.3074858,.4280141,.5615073
"0. Low",1998m3,1470965,913874,4296487,6.85e+07,1645059,.3645041,.4533496,.4944919,.6821913,.2605442,.3080503,.4303252,.5657011
"0. Low",1998m4,1109925,877885,3608285,6.94e+07,1436376,.2559421,.2956364,.4741383,.6427169,.2613166,.3090834,.4315189,.5678538
"0. Low",1998m5,1160706,926153,3610926,6.93e+07,1713467,.1823064,.2012676,.4192193,.5433821,.2626833,.3113489,.4332713,.5709707
"0. Low",1998m6,1413649,1222082,4174713,7.00e+07,2077557,.2373239,.2709218,.4361392,.5729479,.26502,.3146311,.4357221,.5751501
"0. Low",1998m7,1267024,950994,4134948,6.96e+07,1780991,.3520211,.4338972,.476407,.6470405,.2636555,.312624,.4350331,.5739204
"0. Low",1998m8,1216731,1019428,3698787,6.97e+07,1533757,.2787246,.3267343,.4676049,.6303694,.2641729,.3134303,.4351763,.5742065
"0. Low",1998m9,1264898,976066,3643910,6.91e+07,1674694,.2564281,.2962898,.4588239,.6140105,.2647624,.3138329,.4354705,.5744212
"0. Low",1998m10,1052222,951956,3661465,7.04e+07,1689468,.2694364,.313939,.4153204,.5366912,.2637961,.3121905,.4338505,.5713219
"0. Low",1998m11,945014,1015546,3690479,6.99e+07,1549695,.4232513,.5503486,.4586155,.6136256,.2663057,.3155008,.4351419,.5735864
"0. Low",1998m12,909563,1365218,3493697,6.96e+07,1495729,.0945025,.0992707,.3383642,.41304,.2677259,.3172918,.4381296,.5789689
"0. Low",1999m1,1236036,989744,4153278,6.85e+07,1841723,.2002399,.2234435,.3774241,.4738897,.2665575,.3154739,.4395334,.5815429
"0. Low",1999m2,1297843,847483,4169109,6.84e+07,1583378,.2913069,.3443326,.4229345,.5497995,.265773,.3142244,.4410132,.5844044
"0. Low",1999m3,1259688,944445,3899064,6.84e+07,1493215,.3068283,.3664775,.4668172,.6288909,.267604,.3167567,.4419082,.5861798
"0. Low",1999m4,1167480,923024,3625745,6.90e+07,1546831,.2904264,.343091,.4629335,.6216334,.2696673,.3196028,.4434587,.5889248
"0. Low",1999m5,1163800,912864,3485597,6.91e+07,1538331,.2080513,.2332587,.4614171,.6188138,.271804,.3230284,.4471202,.5956872
"0. Low",1999m6,1328040,1056604,3817018,7.00e+07,1939735,.2456632,.2819164,.4656465,.6266976,.2726029,.3247025,.4505644,.6016753
"0. Low",1999m7,1191524,983214,3862531,7.02e+07,1822894,.3156412,.379273,.4805919,.6550653,.2735445,.32597,.4539131,.6070591
"0. Low",1999m8,1295838,919441,3562798,7.00e+07,1556568,.2962761,.3513692,.4989362,.6910219,.2712865,.3228883,.4556868,.6100137
"0. Low",1999m9,1019853,887756,3394982,6.97e+07,1609793,.2828212,.3324302,.4489709,.5959676,.269347,.3205552,.4566244,.6117746
"0. Low",1999m10,1115510,973954,3408763,7.10e+07,1538029,.2925619,.3461051,.4623862,.6206149,.2718054,.3241602,.4584516,.6152608
"0. Low",1999m11,975978,960047,3371536,7.04e+07,1538938,.451407,.6003985,.4994249,.6919976,.2738218,.3268715,.4614799,.6211079
"0. Low",1999m12,1003042,1389920,3239521,7.05e+07,1551814,.0855194,.0893991,.3802155,.4783834,.2760506,.3298021,.462708,.6235703
"0. Low",2000m1,1122917,944670,3907149,7.04e+07,1899344,.2318215,.2637331,.4159424,.5377557,.2768113,.3307982,.4615415,.6213952
"0. Low",2000m2,1330130,937223,3938611,6.97e+07,1656611,.2055331,.230084,.4269856,.5568444,.2776425,.3320007,.4621969,.6227987
"0. Low",2000m3,1303388,788764,3917860,7.09e+07,1660979,.3460547,.4247316,.485268,.6641088,.2791034,.3341006,.4632641,.6249885
"0. Low",2000m4,1092962,906671,3468737,7.12e+07,1452089,.3102011,.3713551,.4883342,.6700837,.2755943,.3294659,.4622741,.6231863
"0. Low",2000m5,1206816,1040480,3433211,7.01e+07,1658377,.2366717,.2700671,.5086967,.7106936,.2727189,.3261749,.459739,.6184056
"0. Low",2000m6,1166215,1005221,3625888,7.16e+07,1939140,.2705329,.315441,.4478395,.5939166,.2748806,.3293194,.4571329,.6137463
"0. Low",2000m7,1161744,1000738,3645704,7.15e+07,1643632,.3090276,.3696553,.4704049,.6356425,.275919,.3304471,.4561549,.6122088
"0. Low",2000m8,1339035,966880,3485961,7.14e+07,1555214,.3228392,.3898466,.524853,.744131,.2774836,.332468,.4554329,.6109692
"0. Low",2000m9,1102183,863569,3224125,7.12e+07,1567781,.2913193,.3443503,.448665,.5954127,.2812241,.3379078,.4570657,.6146085
"0. Low",2000m10,1080068,1050222,3335097,7.12e+07,1557524,.199847,.2229523,.4389333,.5779154,.2801219,.3368272,.4566691,.6144289
"0. Low",2000m11,844790,824124,3492712,7.20e+07,1621500,.4751105,.6445675,.4620347,.6199611,.2734016,.3280623,.4519165,.6054942
"0. Low",2000m12,872309,1511977,3345265,7.18e+07,1466307,.1136989,.1206986,.3550604,.4385986,.2703575,.3243587,.4492114,.6003594
"0. Low",2001m1,1289061,1188560,4153472,7.02e+07,1995978,.228562,.259499,.4176243,.5406395,.2676305,.3206265,.4466237,.5956894
"0. Low",2001m2,1211041,943413,4147559,6.97e+07,1728678,.2463444,.2828198,.4079768,.5242095,.2622199,.3130963,.4413431,.5856746
"0. Low",2001m3,1222463,931796,4057627,7.09e+07,1602176,.3950144,.5025506,.5434639,.7840876,.2588028,.3082857,.4347364,.5736132
"0. Low",2001m4,1115613,827519,3282325,6.24e+07,1429872,.2347881,.2676026,.420618,.5457932,.2551878,.3036995,.4269582,.5607339
"0. Low",2001m5,1305278,1141319,3652993,6.97e+07,1751273,.1507994,.1634598,.4623524,.6205519,.2478747,.2923388,.4182478,.5462372
"0. Low",2001m6,1232149,1092689,4194813,7.05e+07,2230790,.2833461,.3331623,.4292601,.5608218,.2419494,.2827444,.4116436,.53553
"0. Low",2001m7,1321464,1141280,4147509,7.13e+07,1753362,.230767,.2623613,.4268784,.5566574,.2406526,.2812407,.4060614,.5268445
"0. Low",2001m8,1281348,966833,4157234,7.11e+07,1780207,.2712452,.316418,.4416461,.5827622,.2372444,.2769182,.3997765,.5167769
"0. Low",2001m9,1102251,1078894,4108498,7.08e+07,1787290,.2609014,.302324,.3733126,.4673074,.2284448,.264498,.3891753,.4980043
"0. Low",2001m10,1220038,1342509,4379094,7.05e+07,1804350,.1435064,.1549084,.3276095,.3969161,.2239584,.2576214,.380075,.4814756
"0. Low",2001m11,1117814,1068064,4818730,7.07e+07,1874269,.3559349,.4399554,.3643082,.4530415,.2261645,.2604279,.3747918,.4724576
"0. Low",2001m12,1030537,1708736,4812312,7.02e+07,1749085,.0906676,.0950446,.2942858,.3485449,.2259696,.2599924,.3699882,.4641879
"0. Low",2002m1,1633550,1264485,5640476,6.85e+07,2244359,.2204699,.2490639,.3444247,.422242,.2246221,.2581615,.3669519,.4590474
"0. Low",2002m2,1338635,1026102,5423023,6.91e+07,1725266,.1726401,.1895154,.3303384,.4009828,.2250749,.2588066,.3635939,.4533177
"0. Low",2002m3,1356108,1009875,5496667,6.91e+07,1865077,.2575284,.2977707,.366676,.4567732,.2268354,.2612385,.3607593,.448625
"0. Low",2002m4,1412489,1000157,5081276,6.89e+07,1600105,.2646014,.3073427,.3789965,.4764186,.2284668,.2633832,.3582126,.4447906
"0. Low",2002m5,1179621,1214275,4951038,6.99e+07,1795548,.173931,.191077,.3771789,.4734959,.2282201,.2628236,.3557847,.4411622
"0. Low",2002m6,1235555,1156012,5245911,7.05e+07,2162300,.2555377,.2950931,.3991467,.5094044,.2268109,.2609525,.3526407,.4366593
"0. Low",2002m7,1410615,1206513,5111896,7.01e+07,1959873,.2262364,.2564889,.3841199,.484703,.2236121,.257096,.3476521,.4295916
"0. Low",2002m8,1390029,996718,4952117,7.09e+07,1803802,.2866431,.3377734,.403814,.5172025,.2210815,.2539703,.343159,.4230771
"0. Low",2002m9,1173151,1123456,4656083,7.08e+07,1703700,.2877547,.339333,.3431124,.4202424,.2230907,.2567641,.3415853,.4207805
"0. Low",2002m10,1099497,1331816,4648089,7.12e+07,1589566,.1558055,.1693724,.2966897,.351957,.2235234,.257469,.3404149,.4189349
"0. Low",2002m11,1011973,1063885,4987776,7.12e+07,1718727,.3377166,.4120618,.3369582,.4109173,.2180011,.2508603,.3363737,.4127263
"0. Low",2002m12,1034072,1578366,4881687,7.04e+07,1574583,.075065,.0780318,.2461794,.2826009,.2142656,.2466265,.332182,.4062212
"0. Low",2003m1,1230831,1099598,5614841,6.93e+07,1934925,.1592991,.1735193,.2728049,.3185605,.2161395,.2491172,.3308781,.4041038
"0. Low",2003m2,1275442,1041497,5761899,6.87e+07,1678814,.1730766,.1900432,.2941237,.3483152,.2149418,.2474936,.3284005,.4001379
"0. Low",2003m3,1465571,949822,5714471,6.96e+07,1647283,.3053144,.3642959,.3651218,.4543221,.2100419,.2408953,.3262845,.3967301
"0. Low",2003m4,1352310,1144773,5114534,7.00e+07,1486541,.227199,.2577337,.3524618,.4345775,.208543,.2387694,.3262264,.3966851
"0. Low",2003m5,1222995,1135535,5088052,6.95e+07,1776196,.0787997,.0820778,.3067245,.3663278,.2090725,.2393928,.3262427,.3967491
"0. Low",2003m6,1332705,1145136,5832251,7.03e+07,2304829,.2610169,.3024802,.369002,.4604525,.2083251,.2385799,.3256001,.3959934
"0. Low",2003m7,1491128,1196953,5506888,6.99e+07,1826749,.2657296,.3088779,.3829696,.4828371,.21127,.2424131,.326737,.3977406
"0. Low",2003m8,1276566,1035241,5078786,7.00e+07,1680869,.2184048,.2464183,.3455013,.4238856,.2150995,.2472171,.3280353,.3996198
"0. Low",2003m9,1298619,1042319,5011874,6.92e+07,1687815,.2383974,.2723304,.3506425,.4317719,.2141888,.2458967,.3285572,.4006569
"0. Low",2003m10,1070971,1065883,4882939,7.00e+07,1628441,.1691885,.1853523,.2877658,.3393485,.2124895,.2435771,.3304119,.4036299
"0. Low",2003m11,1171685,1082640,5139442,6.99e+07,1661646,.3370422,.411044,.3462711,.4250625,.2151097,.2464569,.332617,.4069431
"0. Low",2003m12,974773,1385649,4792882,7.01e+07,1433080,.0578015,.0595394,.2214461,.250317,.2169571,.248288,.3350509,.4106459
"0. Low",2004m1,1232824,1076260,5592106,6.91e+07,1860589,.2472394,.2840081,.324822,.3927789,.2163609,.2475441,.3356631,.4116282
"0. Low",2004m2,1115521,1023314,5232831,6.85e+07,1457164,.1770438,.1948522,.2732676,.3191969,.2170153,.2484623,.3369292,.413608
"0. Low",2004m3,1495778,918794,5225185,6.91e+07,1422317,.27949,.327796,.3985019,.5083318,.2157973,.2468917,.3380201,.415326
"0. Low",2004m4,1237734,901617,4666415,7.00e+07,1523476,.2122424,.2385648,.3635939,.4519184,.2177534,.2493214,.3401503,.4184263
"0. Low",2004m5,1185553,1030714,4706718,6.97e+07,1736983,.1566404,.1703618,.3485169,.4285039,.2187181,.2501338,.3424802,.4218329
"0. Low",2004m6,1453267,1222523,5191979,7.04e+07,2125632,.2275142,.2581417,.3856215,.4871442,.2199453,.2507796,.34543,.4257989
"0. Low",2004m7,1219361,1023153,5033883,7.14e+07,1844043,.2849218,.3353634,.3810444,.4797218,.2205815,.2510422,.3481183,.4293827
"0. Low",2004m8,1479400,1104383,4704003,7.08e+07,1588253,.2149191,.2419685,.3778131,.4745148,.2201893,.2505011,.3502954,.4324974
"0. Low",2004m9,1283235,978523,4671546,7.06e+07,1744777,.2126525,.2390856,.3445121,.4223754,.2221028,.2528636,.3527145,.4359544
"0. Low",2004m10,1139679,1049298,4727428,7.09e+07,1665286,.2418772,.2769099,.3450208,.4231518,.2232928,.254383,.3536514,.437451
"0. Low",2004m11,1021013,1040919,4624890,7.04e+07,1528523,.2875065,.3389845,.3449323,.4230167,.2234816,.2548129,.3552444,.4399738
"0. Low",2004m12,985675,1373944,4669148,7.06e+07,1639532,.1367909,.1470983,.2935814,.3475473,.2238331,.2555054,.3565288,.4420363
"0. Low",2005m1,1265649,1117121,5147572,6.95e+07,1849199,.1835188,.2027513,.3172041,.3815593,.2266869,.2594117,.3585664,.4454106
"0. Low",2005m2,1246113,929611,5132507,6.92e+07,1617766,.2313522,.2631225,.3331366,.4051701,.2265126,.2593985,.3599276,.4476672
"0. Low",2005m3,1446516,897840,4842930,7.03e+07,1420249,.2711059,.3162268,.3966917,.5053269,.2258642,.2586125,.3622567,.4513797
"0. Low",2005m4,1148299,919748,4449731,7.13e+07,1527951,.2491865,.286598,.3878884,.4908407,.2243238,.2566546,.364219,.454533
"0. Low",2005m5,1223583,1136517,4477435,7.11e+07,1753703,.1242258,.132647,.3624548,.4501302,.2234094,.2556981,.3660932,.4575421
"0. Low",2005m6,1270750,1124404,5045626,7.25e+07,2191059,.2683665,.3124756,.4025094,.5150167,.2257544,.2587934,.3688155,.4617927
"0. Low",2005m7,1294256,1043823,4735372,7.23e+07,1720658,.3125602,.3747811,.41306,.5328327,.2281578,.2617201,.3706013,.4644327
"0. Low",2005m8,1313793,1062697,4317980,7.13e+07,1538601,.1830958,.2022334,.3784649,.475563,.2292796,.2631111,.3727731,.4677102
"0. Low",2005m9,1160195,890262,4417638,7.18e+07,1733862,.2289153,.2599571,.3997602,.5104261,.2294557,.2633749,.3739275,.4695066
"0. Low",2005m10,1146072,895421,4301794,7.22e+07,1650152,.1886452,.2090499,.3368678,.410781,.2316266,.266355,.3751069,.4714696
"0. Low",2005m11,955967,1005106,4495387,7.10e+07,1642729,.3187914,.3838868,.3980645,.507605,.2357504,.2715572,.3789379,.4778365
"0. Low",2005m12,986833,1254471,4316767,7.11e+07,1610834,.161787,.1764831,.3057863,.3649754,.2341901,.2693023,.3797221,.479257
"0. Low",2006m1,1291412,1109983,4728353,7.06e+07,1731594,.2162053,.2436081,.3478568,.4274912,.2294124,.2630346,.3771707,.4751242
"0. Low",2006m2,1146548,919558,4625616,7.04e+07,1542053,.2255879,.2556511,.3546075,.4378965,.2325847,.2670562,.3793223,.4787727
"0. Low",2006m3,1256571,938074,4520207,7.18e+07,1534869,.2810962,.3300277,.4029267,.5157154,.2383396,.2746059,.3832907,.485525
"0. Low",2006m4,1180272,896076,4145670,7.15e+07,1446775,.2912979,.34432,.4099593,.5275638,.2406112,.2775855,.3842948,.4873305
"0. Low",2006m5,1248076,1119917,4057962,7.16e+07,1611848,.1810867,.1997771,.4323286,.5662125,.2445967,.28365,.3859049,.4902088
"0. Low",2006m6,1288630,1169581,4492700,7.32e+07,2189111,.1740568,.1912293,.3514555,.4330246,.2469117,.2877164,.3873747,.492914
"0. Low",2006m7,1322002,993432,4704147,7.30e+07,1790431,.292206,.3456022,.4028811,.5156391,.2458953,.2865353,.3874896,.4931581
"0. Low",2006m8,1485801,1033012,4362579,7.22e+07,1553644,.2795862,.3279296,.4402811,.5803206,.2469436,.2879051,.3873987,.4930341
"0. Low",2006m9,1144712,901898,4044760,7.27e+07,1602942,.2705424,.315454,.4331857,.5677235,.2465434,.2873132,.3845885,.4885723
"0. Low",2006m10,1065445,984906,3935387,7.33e+07,1642759,.2015357,.225065,.3275416,.3968151,.2456078,.2860635,.382038,.4844363
"0. Low",2006m11,1095122,1094249,4236515,7.22e+07,1590131,.4015536,.5134184,.4460338,.5906517,.2443701,.2846773,.3791076,.4795235
"0. Low",2006m12,955498,1387805,3923132,7.08e+07,1576246,.1345848,.1445459,.2930906,.3468527,.2446399,.2850994,.3772357,.4763178
"0. Low",2007m1,1398907,1195170,4590308,7.04e+07,1817009,.2190143,.2471984,.3633102,.4514728,.2455601,.2861036,.3770894,.4760228
"0. Low",2007m2,1312441,899256,4484221,7.05e+07,1561619,.2479369,.2849351,.336972,.4109381,.2419037,.2811826,.3743398,.4713574
"0. Low",2007m3,1159036,916418,4288835,7.25e+07,1315671,.2491425,.2865394,.3531176,.4355907,.2366825,.2742737,.3685948,.4617939
"0. Low",2007m4,1144393,872566,4092870,7.21e+07,1318498,.3007982,.3578159,.3985572,.5084239,.2368643,.2744866,.3664245,.4580703
"0. Low",2007m5,1106947,1081067,3942809,7.16e+07,1481182,.1418806,.153012,.3733993,.4674457,.2324469,.2675529,.36263,.451764
"0. Low",2007m6,1175295,1076265,4459666,7.29e+07,1989099,.219738,.2481255,.3654597,.4548544,.2258985,.2577495,.3570783,.4427939
"0. Low",2007m7,1280794,979304,4459012,7.23e+07,1629174,.2686088,.3128068,.3853663,.4867288,.2282725,.2607846,.3565607,.4420162
"0. Low",2007m8,1212598,1009198,4270480,7.24e+07,1529821,.2154313,.2426211,.3918068,.4972627,.2273419,.259671,.355566,.4405117
"0. Low",2007m9,1139510,901374,4251859,7.26e+07,1654582,.2093872,.234947,.3437788,.4212573,.2277563,.2605977,.355606,.4406264
"0. Low",2007m10,1089868,925843,4287417,7.34e+07,1497257,.2670538,.310683,.3648626,.4539139,.2244364,.2566539,.3542421,.4384262
"0. Low",2007m11,975522,1124870,4267316,7.30e+07,1544217,.23002,.2613907,.3176435,.382203,.2174901,.2477466,.3502686,.4321866
"0. Low",2007m12,1040638,1378435,4664183,7.19e+07,1752352,.1489562,.1612917,.2882421,.3400175,.2162956,.246288,.3463429,.4261838
"0. Low",2008m1,1368626,1169929,5139353,7.09e+07,1819584,.2616189,.3032952,.3557337,.4396431,.2131823,.2422248,.3429881,.4210004
"0. Low",2008m2,1266971,1129821,4924622,6.96e+07,1613510,.1829976,.2021132,.3206778,.3866598,.2113381,.2397815,.3392457,.4151024
"0. Low",2008m3,1326760,948057,4971485,7.11e+07,1626080,.3240269,.391602,.37037,.462623,.213728,.2428818,.3354197,.4092127
"0. Low",2008m4,1241548,1163774,4524364,7.13e+07,1394168,.1462365,.158101,.3485705,.4285861,.2119121,.2405616,.3292439,.4002188
"0. Low",2008m5,1164321,1149845,5012582,7.21e+07,2065278,.1297307,.1389526,.3280238,.3975323,.2078475,.2353209,.3203807,.3877094
"0. Low",2008m6,1266174,1131650,5493946,7.23e+07,2125610,.2032215,.2271786,.3166185,.380702,.2047889,.2317848,.3128117,.3774875
"0. Low",2008m7,1417886,1267659,5645117,7.18e+07,1890656,.2104054,.2362356,.3536924,.4364797,.197474,.222897,.3034714,.3646368
"0. Low",2008m8,1427572,1184752,5642106,7.08e+07,1993624,.2293748,.2605532,.3336621,.4059584,.1896298,.2132927,.2919824,.3488521
"0. Low",2008m9,1396779,1256238,5604187,7.08e+07,1844638,.2527999,.2914223,.310101,.3712101,.1817895,.203187,.2821092,.3350464
"0. Low",2008m10,1140704,1432495,5619944,7.11e+07,1753621,.1800591,.198523,.2503199,.2881087,.1767039,.1963084,.2717399,.3203197
"0. Low",2008m11,1018275,1506019,6114041,7.00e+07,1900881,.219464,.2477744,.2194697,.2477818,.1768934,.1965254,.2619084,.3066615
"0. Low",2008m12,1103458,2032450,6804679,6.99e+07,2032485,.0861066,.0900414,.2047604,.2291119,.1760672,.1954687,.2549638,.2969936
"0. Low",2009m1,1386623,1677991,7896742,6.82e+07,2485392,.1489103,.1612377,.2150486,.2421334,.1731298,.1918447,.2458732,.2843119
"0. Low",2009m2,1391556,1479588,8200424,6.77e+07,2001865,.1074459,.1136682,.1856255,.205335,.169127,.1868594,.2345269,.2685949
"0. Low",2009m3,1837662,1272489,8591811,6.77e+07,1913595,.2114121,.2375114,.2684655,.3126109,.1611955,.1770368,.2239059,.2542335
"0. Low",2009m4,1330259,1305573,8080971,6.79e+07,1795765,.1367954,.1471036,.201611,.2251594,.1554515,.1699588,.2161475,.2440251
"0. Low",2009m5,1450037,1517578,8493109,6.80e+07,2041351,.1437198,.1551576,.2390294,.2731606,.1541453,.1683245,.2125229,.2394017
"0. Low",2009m6,1656388,1589763,8862244,6.83e+07,2399238,.1694051,.185613,.2389404,.2730436,.1519605,.1657825,.2094865,.2356551
"0. Low",2009m7,1394717,1363658,8724593,6.84e+07,1979897,.1737232,.1908254,.2131972,.2397777,.1494563,.1629824,.2048969,.2300379
"0. Low",2009m8,1579204,1383680,8592609,6.71e+07,1728075,.1699897,.1863172,.2018448,.2254522,.1492073,.1626775,.2016418,.2260527
"0. Low",2009m9,1372501,1418777,8550731,6.64e+07,1692495,.1218294,.1299143,.1870156,.2070433,.1499577,.1634887,.1993324,.2230586
"0. Low",2009m10,1394466,1262552,8771553,6.64e+07,1819942,.1731729,.1901596,.1872028,.2072736,.1511025,.1648163,.1985404,.2219515
"0. Low",2009m11,1103445,1498134,8750692,6.68e+07,1621198,.1950013,.2169146,.1955986,.2176569,.1518197,.165686,.1978305,.2210277
"0. Low",2009m12,1190364,1779143,8823439,6.57e+07,1784370,.0581348,.0598931,.155758,.1693161,.150146,.1637221,.1944988,.2167616
"0. Low",2010m1,1444172,1342603,9653093,6.62e+07,2203975,.1167816,.1241828,.1538995,.1671171,.149339,.1627654,.1922614,.213909
"0. Low",2010m2,1676611,1258705,9784494,6.52e+07,1617007,.1335989,.1434074,.1686521,.1847069,.1499835,.1635479,.19372,.2158018
"0. Low",2010m3,1903569,1151448,9628744,6.68e+07,1494425,.2032696,.2272389,.2300134,.2613822,.1530362,.1671678,.1956799,.2183253
"0. Low",2010m4,1472919,1169094,8840607,6.63e+07,1426603,.172412,.1892399,.2210563,.2498165,.153292,.1674879,.1943728,.216751
"0. Low",2010m5,1305101,1245205,8561585,6.67e+07,1675250,.1253165,.1338932,.2025465,.2263317,.1527706,.1670568,.1939576,.2163042
"0. Low",2010m6,1686273,1423731,8912408,6.69e+07,2084942,.1476384,.1597445,.1954615,.2174865,.1536451,.1683649,.19398,.2164199
"0. Low",2010m7,1462201,1405625,9002219,6.74e+07,1831844,.176123,.1937341,.2029777,.2268727,.155866,.171104,.1955127,.2183516
"0. Low",2010m8,1583859,1312769,8729490,6.67e+07,1554521,.1830575,.2021866,.2470718,.2837854,.1597362,.1756679,.1982676,.2217228
"0. Low",2010m9,1367187,1177511,8309002,6.68e+07,1736323,.1820257,.2009244,.1888262,.2092729,.1594854,.1753035,.1978872,.2212122
"0. Low",2010m10,1341326,1374878,8171428,6.67e+07,1431383,.1191168,.1268302,.1540215,.1672614,.1586805,.1743032,.1971052,.2202074
